Ping,Action,Client Sent,Server Received,Client Received,Sender to Server (ms),Server to Client (ms),Total Latency (ms)
0,pause,1744644793886,1744644793886,1744644793887,0,1,1
0,play,1744644794470,1744644794470,1744644794471,0,1,1
0,seek,1744644794920,1744644794920,1744644794922,0,2,2
-1,pause,1744644795498,1744644795497,1744644795498,-1,1,0
-1,play,1744644796011,1744644796010,1744644796012,-1,2,1
-1,seek,1744644796882,1744644796881,1744644796883,-1,2,1
-1,pause,1744644797630,1744644797629,1744644797631,-1,2,1
1,seek,1744644821378,1744644821379,1744644821380,1,1,2
1,seek,1744644821842,1744644821842,1744644821843,0,1,1
1,pause,1744644822446,1744644822447,1744644822447,1,0,1
0,play,1744644822666,1744644822666,1744644822667,0,1,1
1,seek,1744644822938,1744644822938,1744644822939,0,1,1
0,pause,1744644823442,1744644823442,1744644823442,0,0,0
1,seek,1744644823778,1744644823778,1744644823780,0,2,2
0,play,1744644824184,1744644824184,1744644824185,0,1,1
0,pause,1744644824684,1744644824684,1744644824685,0,1,1
